2025-04-18T16:12:40.445 - INFO: 程序启动，开始系谱分析...
2025-04-18T16:12:40.451 - INFO: 尝试连接数据库: jdbc:mysql://localhost:3306/cow?useSSL=false&serverTimezone=UTC
2025-04-18T16:12:40.593 - INFO: 数据库连接成功。执行查询: SELECT `standard_id`, `sire_id`, `dam_id` FROM `cattle_info`
2025-04-18T16:12:40.630 - INFO: 成功从数据库表 cattle_info 加载了 4170 条有效记录。
2025-04-18T16:12:40.635 - INFO: 数据库资源已关闭。
2025-04-18T16:12:40.635 - INFO: 成功从数据库加载 4170 条个体记录。
2025-04-18T16:12:40.642 - INFO: 
开始计算近交系数:
2025-04-18T16:12:40.642 - INFO: 个体 ID: HOCHNF37XC0120231933, 近交系数 (F): 0.000000
2025-04-18T16:12:40.648 - INFO: 个体 ID: HOCHNF37XC0120231932, 近交系数 (F): 0.000000
2025-04-18T16:12:40.648 - INFO: 个体 ID: HOCHNF37XC01221429, 近交系数 (F): 0.000000
2025-04-18T16:12:40.648 - INFO: 个体 ID: HOCHNF37XC0120231931, 近交系数 (F): 0.000000
2025-04-18T16:12:40.648 - INFO: 个体 ID: HOCHNF37XC01221428, 近交系数 (F): 0.000000
2025-04-18T16:12:40.648 - INFO: 个体 ID: HOCHNF37XC0120231930, 近交系数 (F): 0.000000
2025-04-18T16:12:40.648 - INFO: 个体 ID: HOCHNF37XC01221427, 近交系数 (F): 0.000000
2025-04-18T16:12:40.648 - INFO: 个体 ID: HOCHNF37XC0120231937, 近交系数 (F): 0.000000
2025-04-18T16:12:40.648 - INFO: 个体 ID: HOCHNF37XC01221426, 近交系数 (F): 0.000000
2025-04-18T16:12:40.648 - INFO: 个体 ID: HOCHNF37XC0120231936, 近交系数 (F): 0.000000
2025-04-18T16:12:40.648 - INFO: 个体 ID: HOCHNF37XC01221425, 近交系数 (F): 0.000000
2025-04-18T16:12:40.648 - INFO: 个体 ID: HOCHNF37XC01221424, 近交系数 (F): 0.000000
2025-04-18T16:12:40.648 - INFO: 个体 ID: HOCHNF37XC01221423, 近交系数 (F): 0.000000
2025-04-18T16:12:40.649 - INFO: 个体 ID: HOCHNF37XC01221422, 近交系数 (F): 0.000000
2025-04-18T16:12:40.649 - INFO: 个体 ID: HOCHNF37XC01221421, 近交系数 (F): 0.000000
2025-04-18T16:12:40.649 - INFO: 个体 ID: HOCHNF37XC01221420, 近交系数 (F): 0.000000
2025-04-18T16:12:40.649 - INFO: 个体 ID: HOCHNF37XC0120240896, 近交系数 (F): 0.000000
